index	edge_density	motif_density	gene_distance	TF_number	TF_name	master_in	master_list
0	0.4230769230769231	0.015658535013373723	20947.0	155	CBX5;FOXC1;TLX2;LHX6;POU3F2;BCL6B;FOXJ1;PAX6;STAT6;RAX;HOXB8;TBX15;SOX10;FOXB1;ZNF35;HOXB13;BACH1;HOXA9;VAX2;NOTO;LMX1A;SOX8;PRRX1;ETS2;POU3F4;NFE2L2;FOXF1;NFE2L1;TGIF1;DMRT2;SHOX2;SOX9;MYEF2;MGA;RORA;ZNF75A;ALX3;GATA4;STAT5A;LBX2;FOXL1;POU2F1;GATA5;MSX1;SOX15;NKX6-1;HOXD8;FOXC2;MEF2A;HOXC10;UNCX;LEF1;HNF4A;FOXI1;HOXA4;FOXJ2;FOXD3;ZEB1;SOX7;PHOX2B;SPI1;POU5F1;TBP;NR2E1;PRRX2;LHX3;HNF1A;HOXD13;POU4F3;TBX1;VSX2;POU6F1;PHOX2A;POU1F1;HOXC6;IKZF2;BRCA1;SOX14;EN1;ZNF410;CPEB1;NFAT5;MAFG;PAX4;EN2;LHX4;PROP1;BSX;PAX7;POU6F2;DBX1;HOXA11;HOXD3;POU3F1;FOXA2;HERPUD1;HESX1;SOX1;FOXD1;AIRE;NFIL3;HOXC13;LHX2;SIX6;BARX1;ISL2;FOXD2;EOMES;FOXA1;PAX2;MEF2D;ONECUT1;HOXB9;VSX1;MYF6;ALX1;HOXB5;HOXC4;DUXA;FOXQ1;HDX;NKX6-2;LHX9;ESX1;ARX;TBX5;BARHL2;EMX2;HOXA1;HNF1B;ISX;CEBPB;SIX2;HOXB7;TEF;DLX1;HOXA2;DMBX1;HOXA3;DPRX;MYBL2;MYBL1;LMX1B;NKX6-3;OTP;LHX1;HOXC11;DBX2;HOXB4;RHOXF2;HOXB3;ARID3A;SIX1;NKX1-2;HOXD1		
1	0.6911764705882353	0.019606525228723026	5664.0	173	CBX5;TLX2;ERF;LHX6;POU3F2;RUNX1;BCL6B;GSX2;PAX6;NKX2-2;IRF7;MEIS1;RAX;MLX;SOX10;ZNF35;HOXB13;HOXA9;IRF2;VAX2;IRX5;ELF3;SRF;FOXP1;LMX1A;SOX8;PRRX1;POU3F4;NFE2L2;SOX21;IRF8;SHOX2;SOX9;MYEF2;RORA;ZNF75A;IRX2;ELF5;ALX3;GATA4;DLX5;SREBF1;MAFK;RHOXF1;FOXO4;LBX2;POU2F1;FOXO3;SPIC;MSX1;SOX15;NKX6-1;HOXD8;IRF9;UNCX;MSX2;IRF3;LEF1;HNF4A;MIXL1;HOXA4;FOXJ2;FOXD3;BARHL1;ZEB1;SOX7;PHOX2B;SPI1;SOX17;POU5F1;TBP;NR2E1;PRRX2;LHX3;HNF1A;POU4F3;GATA3;VSX2;POU6F1;SPIB;PHOX2A;IRF4;POU1F1;SOX2;GATA1;PDX1;IKZF2;VAX1;GFI1;SPDEF;EN1;ZNF410;HMX2;POU3F3;FOXJ3;MNX1;LHX5;PAX4;EN2;LHX4;FEV;EMX1;PROP1;BSX;PAX7;POU6F2;BARX2;DBX1;NOBOX;GBX1;POU3F1;HESX1;HOXA13;HOXD10;NKX2-8;IRX4;HOXC13;LHX2;SIX6;ISL2;PBX1;NRL;PTF1A;BBX;CCDC6;SOX30;PAX2;ALX4;CEBPG;GBX2;VSX1;ALX1;HOXB5;HBP1;NR1H4;HOXC4;SOX3;HDX;NKX6-2;HMX3;LHX9;HOXA7;ESX1;ZSCAN26;IRX3;ARX;TBX5;BARHL2;EMX2;HNF1B;ISX;TCF7;CEBPB;HOXB7;DLX1;LMX1B;NKX6-3;OTP;LHX1;NKX3-2;HOXA5;POU4F1;DBX2;HOXB4;GMEB1;RHOXF2;HOXB3;HOXB2;ARID3A;HOXC5;NKX1-2;HOXD1;NKX1-1		
2	0.3333333333333333	0.07777777777777778	16325.0	6	STAT6;NR5A1;SPIC;ESRRA;ESRRB;ESRRG		
3	0.6373626373626373	0.06361350361350361	9722.0	75	ERF;RUNX1;FOXJ1;PAX6;TCF7L1;MEIS1;TBX15;SOX10;FOXB1;ZNF35;HOXA9;ELF3;SRF;FOXP1;SOX8;ETS2;NKX2-1;TBR1;SOX21;SOX9;MYEF2;MGA;RORA;ZNF75A;ELF5;FOXO4;POU2F1;FOXO3;SPIC;SOX15;RUNX2;FOXO1;HNF4A;FOXJ2;FOXD3;ZEB1;SOX7;SPI1;SOX17;POU5F1;TBP;NR2E1;SPIB;ESRRA;ELF1;SOX18;SOX2;GATA1;IKZF2;SOX14;EN1;FOXJ3;TEAD1;PAX4;FEV;FOXG1;SOX1;PRDM1;PBX1;EOMES;PAX2;TCF7L2;MYF6;NR1H4;GFI1B;FOXQ1;SNAI2;SOX3;E2F4;ZSCAN26;TBX5;EMX2;TCF7;GATA6;TEAD3		
4	0.5731225296442688	0.015561015561015561	13465.0	148	CBX5;FOXC1;NR2F2;TLX2;LHX6;BCL6B;FOXJ1;ZBTB16;ATF4;NKX2-2;HOXB8;ZNF35;HOXB13;HOXA6;GRHL1;HOXA9;HOXC9;IRF2;PRRX1;POU3F4;SOX21;TGIF1;IRF8;SHOX2;BHLHA15;ALX3;GATA4;DLX5;RHOXF1;ZNF384;DLX4;FOXL1;GATA5;MSX1;NKX6-1;HOXD8;FOXC2;IRF9;HOXC10;MSX2;IRF3;LEF1;FOXI1;HOXD12;SOX11;FOXD3;BARHL1;PHOX2B;SOX17;HNF1A;HOXD13;POU4F3;TBX1;GATA3;POU6F1;HMX1;HLX;POU1F1;HOXC6;MEOX2;DLX2;PDX1;ATF2;POU4F2;SPDEF;CDX2;SOX14;HMX2;NFAT5;HOXD9;NR4A2;EN2;CDX1;PROP1;PAX7;POU6F2;ZNF232;NOBOX;HOXA11;GBX1;HOXD3;HMGA1;POU3F1;FOXA2;HESX1;HOXD10;NKX2-8;PRDM1;IRX4;HOXC13;IRF5;LHX2;BARX1;ISL2;FOXD2;PBX1;PTF1A;BBX;BHLHE23;EOMES;SOX30;HOXA10;ALX4;DRGX;MEF2D;CEBPG;TCF7L2;GBX2;HLF;ALX1;HOXB5;NKX2-3;SOX3;DLX6;LHX9;HOXA7;ESX1;ZSCAN26;ARX;BARHL2;NKX2-4;HNF1B;ISX;TCF7;CEBPB;GATA6;HOXB7;TEF;DLX1;HOXA2;PAX3;LHX8;NEUROD2;CUX1;OLIG2;LMX1B;HOXC11;DMRT1;NEUROG2;OLIG3;HOXB3;HOXB2;TBX19;ARID3A;OLIG1;CDC5L;BHLHE22;ATOH1		
5	1.0	0.8883479532163743	89.0	96	TLX2;LHX6;POU3F2;GSX2;HOXC8;RAX;HOXB8;ZNF35;HOXB13;HOXA9;HOXC9;VAX2;LMX1A;PRRX1;POU3F4;SHOX2;ALX3;LBX2;DLX4;MSX1;NKX6-1;HOXC10;UNCX;MSX2;BARHL1;PHOX2B;PRRX2;LHX3;POU4F3;GATA3;POU6F1;HMX1;PHOX2A;POU1F1;HOXC6;MEOX2;GSX1;DLX2;PDX1;EN1;HOXD9;MNX1;LHX5;EN2;LHX4;PROP1;PAX7;POU6F2;BARX2;NOBOX;HOXA11;GBX1;HOXD3;POU3F1;NKX2-8;PRDM1;HOXC13;LHX2;ISL2;HOXA10;ALX4;DRGX;HOXB9;GBX2;VSX1;ALX1;HOXB5;NKX6-2;DLX6;LHX9;HOXA7;ESX1;ARX;BARHL2;EMX2;HOXA1;ISX;HOXB7;DLX1;HOXA3;LHX8;LMX1B;NKX6-3;OTP;LHX1;HOXC11;HOXA5;DBX2;HOXB4;RHOXF2;HOXB3;HOXB2;HOXC5;NKX1-2;HOXD1;EVX1		
6	0.6888888888888889	0.140004004004004	10983.0	75	LHX6;POU3F2;GSX2;RAX;HOXB13;VAX2;LMX1A;PRRX1;POU3F4;TGIF1;SHOX2;HOXD11;ALX3;FOXL1;MSX1;NKX6-1;HOMEZ;HOXD8;FOXC2;HOXC10;UNCX;HOXA4;PHOX2B;PRRX2;LHX3;HNF1A;HOXD13;VSX2;PHOX2A;POU1F1;PDX1;VAX1;FOXK1;EN1;HOXD9;LHX5;EN2;EMX1;PROP1;PAX7;POU6F2;HOXD3;POU3F1;AIRE;HOXD10;HOXC13;LHX2;ALX4;GBX2;VSX1;ALX1;HOXB5;HOXC4;FOXQ1;EVX2;NKX6-2;LHX9;ESX1;EMX2;HOXA1;ISX;CEBPB;GATA6;HOXA2;HOXA3;LHX8;LMX1B;LHX1;HOXA5;HOXB4;RHOXF2;HOXB3;HOXB2;HOXC5;EVX1		
7	0.5	0.054385964912280704	22715.0	19	RAX;NOTO;PRRX1;SHOX2;MSX1;UNCX;MSX2;PRRX2;VAX1;MNX1;BSX;HOXD3;LHX2;VSX1;NKX6-2;LHX9;HOXA1;ISX;LMX1B		
8	0.9333333333333333	0.28421469597940185	3244.0	34	BCL6B;HOXC8;HOXA6;VAX2;IRX5;LMX1A;PRRX1;IRX2;UNCX;MIXL1;PRRX2;PDX1;VAX1;MNX1;LHX5;EN2;LHX4;BSX;HOXD3;BBX;VSX1;HOXB5;HOXC4;EVX2;HDX;LHX9;IRX3;ISX;LMX1B;OTP;LHX1;HOXB4;ARID3A;MEOX1		
9	0.5142857142857142	0.029229024943310658	13867.0	21	FOXJ1;GRHL1;VAX2;FOXL1;MSX1;NKX6-1;FOXD3;HNF1A;MEOX2;PDX1;PGR;SREBF2;E2F3;FOXD2;PTF1A;MEF2D;HOXA3;HOXA5;HOXB3;HOXB2;MEOX1		
